root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,waist_yaw,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.003357,-0.268079,0.445072,-0.018859,0.050918,0.948133,0.313202,-0.676678,0.033552,-0.079916,0.573357,-0.080961,-0.083243,-0.312632,-0.369872,-0.123234,0.72441,-0.519964,0.16274,0.082238,-0.881918,0.020448,-1.493906,-0.346267,-0.25545,0.192595,-0.239258,0.401831,-1.9548,-1.150328
0.000725,-0.264542,0.446667,-0.028596,0.039866,0.96022,0.2749,-0.692742,0.018519,-0.157364,0.548016,-0.055762,-0.103431,-0.231486,-0.337293,-0.207737,0.649534,-0.492128,0.16601,0.262285,-0.961804,-0.123881,-1.340067,-0.517257,-0.145075,0.107993,-0.134438,0.267023,-1.9548,-1.232417
-0.000258,-0.261245,0.449061,-0.029936,0.024765,0.968106,0.247511,-0.69018,0.023262,-0.208418,0.530682,-0.044234,-0.106415,-0.15939,-0.286047,-0.25604,0.576962,-0.459834,0.157267,0.433208,-0.915364,-0.174024,-1.207776,-0.77579,0.004008,-0.08008,-0.132409,0.152458,-1.9548,-1.18208
0.000268,-0.258918,0.451339,-0.025095,0.007586,0.970276,0.240577,-0.672097,0.051833,-0.232254,0.521212,-0.042123,-0.103896,-0.10082,-0.232491,-0.273021,0.501409,-0.411601,0.156286,0.54615,-0.740399,-0.068099,-1.103065,-1.145393,0.145895,-0.35251,-0.181466,0.133797,-1.9548,-1.002583
0.003013,-0.256103,0.452002,-0.004175,-0.013754,0.969176,0.245951,-0.623868,0.096603,-0.234124,0.528803,-0.049759,-0.115536,-0.058494,-0.189837,-0.246829,0.503506,-0.41048,0.13184,0.536941,-0.395193,0.1332,-0.899237,-1.549835,0.333804,-0.776893,-0.012285,0.208936,-1.536924,-0.896158
0.004231,-0.24839,0.450694,0.023631,-0.038522,0.967524,0.248708,-0.574748,0.149796,-0.246343,0.578701,-0.092612,-0.137705,0.024934,-0.129547,-0.230648,0.481687,-0.41479,0.111066,0.443707,-0.035594,0.244446,-0.601056,-1.737775,0.60505,-1.222288,0.131541,0.229136,-0.698591,-0.001981
0.003986,-0.244948,0.449561,0.035032,-0.067749,0.969713,0.232035,-0.587341,0.184359,-0.295903,0.647649,-0.11505,-0.154291,0.115932,-0.046885,-0.235024,0.395398,-0.366648,0.100487,0.477552,0.047062,0.277718,-0.601957,-1.673569,0.601862,-1.250724,0.017665,0.720786,-0.629752,0.205158
0.003944,-0.244601,0.448713,0.018806,-0.068907,0.976545,0.20312,-0.641309,0.167506,-0.313271,0.641853,-0.083095,-0.160045,0.099494,-0.027166,-0.266404,0.389009,-0.357185,0.087832,0.485399,0.025713,0.27107,-0.665828,-1.629788,0.630719,-1.154757,-0.062511,0.562458,-0.751194,0.146556
0.003772,-0.246095,0.448442,0.008544,-0.063382,0.978575,0.195705,-0.661419,0.15425,-0.307343,0.623459,-0.072585,-0.148618,0.068641,-0.038526,-0.276127,0.408939,-0.361567,0.085074,0.400671,0.057866,0.261257,-0.640225,-1.621373,0.636012,-1.123994,-0.030807,0.560173,-0.806534,0.190762
0.00642,-0.248151,0.446606,-0.003227,-0.068878,0.977065,0.201467,-0.703271,0.172368,-0.312351,0.644274,-0.083491,-0.153326,0.032154,-0.026929,-0.283358,0.421194,-0.375148,0.081251,0.338473,0.06979,0.286985,-0.633892,-1.612958,0.677424,-1.145884,0.025699,0.612087,-0.808714,0.152809
0.007919,-0.253153,0.446547,-0.016184,-0.064836,0.971404,0.227834,-0.727328,0.197329,-0.262652,0.656805,-0.087325,-0.149805,-0.025908,-0.045548,-0.257861,0.440932,-0.375105,0.092656,0.329225,0.033439,0.309653,-0.690973,-1.601294,0.65803,-1.155567,0.063051,0.62762,-0.809584,0.137182
0.009887,-0.258467,0.44705,-0.027647,-0.062166,0.96099,0.268085,-0.744547,0.24209,-0.200843,0.679903,-0.109086,-0.137998,-0.101924,-0.052465,-0.180166,0.459903,-0.366097,0.100915,0.310996,0.019981,0.316162,-0.712325,-1.578135,0.664739,-1.183888,0.128665,0.661114,-0.81411,0.110921
0.011455,-0.266461,0.446589,-0.040616,-0.056363,0.946879,0.313997,-0.767404,0.285642,-0.130671,0.711908,-0.130848,-0.120149,-0.18839,-0.060215,-0.094651,0.47786,-0.335424,0.125136,0.293364,0.006335,0.302858,-0.704291,-1.546433,0.639934,-1.225709,0.17453,0.685271,-0.81073,0.060114
0.010511,-0.277121,0.448276,-0.056628,-0.049884,0.930199,0.359213,-0.786836,0.322414,-0.066593,0.729922,-0.144994,-0.088957,-0.287788,-0.064215,-0.003291,0.497565,-0.309503,0.115711,0.269639,-0.008327,0.286968,-0.675896,-1.515102,0.610994,-1.24579,0.17453,0.705048,-0.857896,0.000509
0.010651,-0.29198,0.447552,-0.074784,-0.03584,0.908714,0.409099,-0.823347,0.357246,0.018885,0.758542,-0.160909,-0.048672,-0.407926,-0.073818,0.081993,0.512421,-0.258218,0.145259,0.239218,-0.034509,0.24418,-0.756246,-1.443115,0.645953,-1.243757,0.17453,0.759222,-0.92155,-0.102746
0.007796,-0.304958,0.448173,-0.087784,-0.021709,0.884468,0.457754,-0.838477,0.397348,0.116256,0.78994,-0.190336,-0.005674,-0.490105,-0.081652,0.151479,0.487312,-0.187733,0.16557,0.190918,-0.064854,0.211851,-0.79613,-1.376275,0.661907,-1.18687,0.17453,0.799777,-1.027762,-0.15651
0.003575,-0.315816,0.449681,-0.095619,-0.007662,0.853956,0.511427,-0.819292,0.447675,0.231827,0.806629,-0.218046,0.022726,-0.533733,-0.092931,0.192698,0.410258,-0.092838,0.198935,0.151301,-0.079496,0.177056,-0.824607,-1.315255,0.695793,-1.10289,0.17453,0.827512,-1.14198,-0.249186
-0.002033,-0.326431,0.453063,-0.104879,0.012816,0.820222,0.562203,-0.779532,0.472795,0.363334,0.784362,-0.227814,0.059214,-0.587515,-0.128124,0.1598,0.350093,-0.016279,0.203131,0.108849,-0.105563,0.173895,-0.849548,-1.304244,0.711407,-1.052797,0.17453,0.87916,-1.236365,-0.342658
-0.001966,-0.338485,0.455966,-0.109812,0.018211,0.779556,0.616362,-0.7427,0.534124,0.463114,0.78047,-0.230538,0.073413,-0.618274,-0.162289,-0.030864,0.349307,0.01195,0.150825,0.096102,-0.138545,0.171867,-0.901451,-1.275567,0.717029,-0.951513,0.17453,0.903053,-1.355282,-0.529941
-0.002581,-0.349497,0.459035,-0.112091,0.018186,0.726956,0.677229,-0.700685,0.581734,0.507576,0.76747,-0.227866,0.054894,-0.621411,-0.185975,-0.239861,0.389781,0.008504,0.077587,0.123775,-0.186423,0.159968,-0.948515,-1.249595,0.714342,-0.869681,0.17453,0.928663,-1.469603,-0.724384
-0.007385,-0.355946,0.462762,-0.108379,0.017498,0.674213,0.730332,-0.684064,0.561451,0.425887,0.74358,-0.236945,0.031074,-0.582842,-0.206138,-0.385297,0.426447,0.042574,0.010779,0.152739,-0.234624,0.129696,-0.990875,-1.237347,0.718914,-0.826754,0.17453,0.951986,-1.572172,-0.865065
-0.017227,-0.361103,0.465221,-0.099011,0.021483,0.637469,0.763785,-0.702389,0.468542,0.271614,0.728597,-0.259815,0.025589,-0.532552,-0.248684,-0.483684,0.45026,0.083822,-0.010753,0.15155,-0.303348,0.073549,-1.030486,-1.220517,0.718488,-0.795316,0.17453,0.965525,-1.671771,-0.983961
-0.024003,-0.362499,0.467322,-0.087835,0.026398,0.59894,0.795525,-0.689762,0.37616,0.158145,0.702686,-0.286427,0.002777,-0.508038,-0.282239,-0.509181,0.469354,0.099729,-0.014067,0.159076,-0.408105,-0.013578,-1.087628,-1.167116,0.741712,-0.777226,0.17453,0.950644,-1.769843,-1.161463
-0.027526,-0.362376,0.468446,-0.073882,0.030739,0.556526,0.826967,-0.647736,0.315547,0.107945,0.676446,-0.308979,-0.017466,-0.482654,-0.308124,-0.544675,0.458359,0.114482,0.011451,0.188036,-0.521771,-0.110426,-1.094358,-1.121838,0.741608,-0.767614,0.17453,0.929907,-1.849923,-1.312292
-0.026307,-0.358665,0.467085,-0.059542,0.03089,0.520355,0.851311,-0.587355,0.304209,0.130048,0.678159,-0.301904,-0.02236,-0.463513,-0.302768,-0.484978,0.414038,0.126028,0.068608,0.195803,-0.602439,-0.174506,-1.060753,-1.084524,0.791114,-0.766309,0.17453,0.902346,-1.916315,-1.438222
